ID,Time (s),Entity,Type/Dir,Inter-Arrival (s),Service Time (s)
484,2346.8,WB Vehicles,WB,3.7,-
485,2348.6,Crossers,Crosser,32.9,4.3
486,2365.0,WB Vehicles,WB,18.2,-
487,2368.1,WB Vehicles,WB,3.1,-
488,2373.7,WB Vehicles,WB,5.6,-
489,2377.8,EB Vehicles,EB,31.0,-
490,2381.8,WB Vehicles,WB,8.1,-
491,2391.0,WB Vehicles,WB,9.2,-
492,2392.2,Posers,Poser,70.5,9.0
493,2403.8,EB Vehicles,EB,26.0,-
494,2410.6,Posers,Poser,18.4,6.2
495,2415.0,WB Vehicles,WB,24.0,-
496,2419.7,WB Vehicles,WB,4.7,-
497,2425.7,WB Vehicles,WB,6.0,-
498,2428.8,WB Vehicles,WB,3.1,-
499,2431.0,Crossers,Crosser,82.4,4.6
500,2439.0,WB Vehicles,WB,10.2,-
501,2439.8,EB Vehicles,EB,36.0,-
502,2443.5,WB Vehicles,WB,4.5,-
503,2454.4,WB Vehicles,WB,10.9,-
504,2457.8,EB Vehicles,EB,18.0,-
505,2467.3,EB Vehicles,EB,9.5,-
506,2470.7,EB Vehicles,EB,3.4,-
507,2477.8,Crossers,Crosser,46.8,7.1
508,2482.0,WB Vehicles,WB,27.6,-
509,2485.6,EB Vehicles,EB,14.9,-
510,2496.0,EB Vehicles,EB,10.4,-
511,2498.5,Crossers,Crosser,20.7,5.4
512,2509.6,WB Vehicles,WB,27.6,-
513,2513.7,Crossers,Crosser,15.2,4.1
514,2519.6,WB Vehicles,WB,10.0,-
515,2522.0,Posers,Poser,111.4,4.8
516,2545.4,WB Vehicles,WB,25.8,-
517,2548.0,Crossers,Crosser,34.3,7.8
518,2558.7,Crossers,Crosser,10.7,10.7
519,2568.6,WB Vehicles,WB,23.2,-
520,2568.7,EB Vehicles,EB,72.7,-
521,2573.7,WB Vehicles,WB,5.1,-
522,2589.9,WB Vehicles,WB,16.2,-
523,2595.1,Crossers,Crosser,36.4,12.3
524,2609.3,Crossers,Crosser,14.2,10.6
525,2619.9,EB Vehicles,EB,51.2,-
526,2621.5,WB Vehicles,WB,31.6,-
527,2622.5,EB Vehicles,EB,2.6,-
528,2625.1,EB Vehicles,EB,2.6,-
529,2627.7,EB Vehicles,EB,2.6,-
530,2629.9,EB Vehicles,EB,2.2,-
531,2632.4,Crossers,Crosser,23.1,6.4
532,2637.2,EB Vehicles,EB,7.3,-
533,2640.1,WB Vehicles,WB,18.6,-
534,2640.5,Crossers,Crosser,8.1,10.2
535,2650.6,WB Vehicles,WB,10.5,-
536,2653.1,WB Vehicles,WB,2.5,-
537,2655.3,WB Vehicles,WB,2.2,-
538,2657.0,Posers,Poser,135.0,8.6
539,2664.7,EB Vehicles,EB,27.5,-
540,2671.7,WB Vehicles,WB,16.4,-
541,2687.7,WB Vehicles,WB,16.0,-
542,2691.6,WB Vehicles,WB,3.9,-
543,2695.6,Crossers,Crosser,55.1,20.9
544,2695.8,WB Vehicles,WB,4.2,-
545,2711.3,WB Vehicles,WB,15.5,-
546,2717.5,Crossers,Crosser,21.9,3.0
547,2724.3,WB Vehicles,WB,13.0,-
548,2727.7,WB Vehicles,WB,3.4,-
549,2729.9,Crossers,Crosser,12.4,6.9
550,2736.8,WB Vehicles,WB,9.1,-
551,2739.1,Crossers,Crosser,9.2,6.1
552,2744.1,WB Vehicles,WB,7.3,-
553,2744.7,EB Vehicles,EB,80.0,-
554,2747.5,EB Vehicles,EB,2.8,-
555,2751.8,Crossers,Crosser,12.7,7.6
556,2755.8,WB Vehicles,WB,11.7,-
557,2759.3,EB Vehicles,EB,11.8,-
558,2761.8,Posers,Poser,104.8,10.4
559,2768.1,WB Vehicles,WB,12.3,-
560,2776.1,EB Vehicles,EB,16.8,-
561,2778.5,WB Vehicles,WB,10.4,-
562,2782.9,WB Vehicles,WB,4.4,-
563,2786.7,WB Vehicles,WB,3.8,-
564,2789.5,Crossers,Crosser,37.7,7.4
565,2797.9,Posers,Poser,36.1,5.2
566,2802.1,EB Vehicles,EB,26.0,-
567,2810.5,EB Vehicles,EB,8.4,-
568,2813.7,EB Vehicles,EB,3.2,-
569,2813.8,Crossers,Crosser,24.3,6.0
570,2824.0,EB Vehicles,EB,10.3,-
571,2824.8,WB Vehicles,WB,38.1,-
572,2832.1,WB Vehicles,WB,7.3,-
573,2834.5,Posers,Poser,36.6,5.8
574,2841.5,EB Vehicles,EB,17.5,-
575,2843.4,Posers,Poser,8.9,7.6
576,2845.5,WB Vehicles,WB,13.4,-
577,2852.8,Posers,Poser,9.4,2.1
578,2857.8,Posers,Poser,5.0,12.5
579,2858.6,WB Vehicles,WB,13.1,-
580,2875.3,Posers,Poser,17.5,10.6
581,2876.3,WB Vehicles,WB,17.7,-
582,2888.2,WB Vehicles,WB,11.9,-
583,2892.3,Crossers,Crosser,78.5,7.2
584,2900.1,WB Vehicles,WB,11.9,-
585,2900.5,Posers,Poser,25.2,2.9
586,2904.8,WB Vehicles,WB,4.7,-
587,2905.4,EB Vehicles,EB,63.9,-
588,2908.5,Crossers,Crosser,16.2,7.4
589,2915.0,WB Vehicles,WB,10.2,-
590,2921.6,WB Vehicles,WB,6.6,-
591,2925.7,EB Vehicles,EB,20.3,-
592,2926.3,Posers,Poser,25.8,7.1
593,2942.2,WB Vehicles,WB,20.6,-
594,2944.4,WB Vehicles,WB,2.2,-
595,2946.0,Posers,Poser,19.7,7.1
596,2954.6,Crossers,Crosser,46.1,4.1
597,2959.7,WB Vehicles,WB,15.3,-
598,2966.5,WB Vehicles,WB,6.8,-
599,2970.4,WB Vehicles,WB,3.9,-
600,2971.1,EB Vehicles,EB,45.4,-
601,2975.1,WB Vehicles,WB,4.7,-
602,2977.9,EB Vehicles,EB,6.8,-
603,2981.8,EB Vehicles,EB,3.9,-
604,2986.0,Posers,Poser,40.0,8.1
605,2993.1,WB Vehicles,WB,18.0,-
606,2995.5,Crossers,Crosser,40.9,11.3
607,3006.1,EB Vehicles,EB,24.3,-
608,3009.7,Posers,Poser,23.7,6.0
609,3015.8,WB Vehicles,WB,22.7,-
610,3016.9,EB Vehicles,EB,10.8,-
611,3024.5,WB Vehicles,WB,8.7,-
612,3025.2,Crossers,Crosser,29.7,10.9
613,3033.4,WB Vehicles,WB,8.9,-
614,3036.2,WB Vehicles,WB,2.8,-
615,3038.8,WB Vehicles,WB,2.6,-
616,3042.0,WB Vehicles,WB,3.2,-
617,3045.2,WB Vehicles,WB,3.2,-
618,3048.6,WB Vehicles,WB,3.4,-
619,3052.0,Posers,Poser,42.3,11.4
620,3053.0,WB Vehicles,WB,4.4,-
621,3066.2,WB Vehicles,WB,13.2,-
622,3068.8,EB Vehicles,EB,51.9,-
623,3071.7,Posers,Poser,19.7,6.3
624,3079.2,WB Vehicles,WB,13.0,-
625,3084.2,WB Vehicles,WB,5.0,-
626,3084.4,Posers,Poser,12.7,8.4
627,3093.0,WB Vehicles,WB,8.8,-
628,3098.9,Posers,Poser,14.5,6.5
629,3103.5,WB Vehicles,WB,10.5,-
630,3107.1,WB Vehicles,WB,3.6,-
631,3110.1,EB Vehicles,EB,41.3,-
632,3114.2,WB Vehicles,WB,7.1,-
633,3115.8,EB Vehicles,EB,5.7,-
634,3119.4,WB Vehicles,WB,5.2,-
635,3119.5,Posers,Poser,20.6,13.3
636,3134.8,Crossers,Crosser,109.6,6.4
637,3144.5,Posers,Poser,25.0,10.3
638,3160.2,Posers,Poser,15.7,8.2
639,3173.6,Posers,Poser,13.4,6.5
640,3181.8,EB Vehicles,EB,66.0,-
641,3184.2,Crossers,Crosser,49.4,6.0
642,3191.6,Posers,Poser,18.0,4.0
643,3201.8,EB Vehicles,EB,20.0,-
644,3206.4,EB Vehicles,EB,4.6,-
645,3209.8,EB Vehicles,EB,3.4,-
646,3214.2,Posers,Poser,22.6,4.0
647,3220.5,EB Vehicles,EB,10.7,-
648,3226.5,Posers,Poser,12.3,3.3
649,3227.4,EB Vehicles,EB,6.9,-
650,3232.2,WB Vehicles,WB,112.8,-
651,3232.8,EB Vehicles,EB,5.4,-
652,3234.1,WB Vehicles,WB,1.9,-
653,3237.1,EB Vehicles,EB,4.3,-
654,3237.4,WB Vehicles,WB,3.3,-
655,3240.2,WB Vehicles,WB,2.8,-
656,3247.3,WB Vehicles,WB,7.1,-
657,3253.3,Posers,Poser,26.8,5.8
658,3260.2,EB Vehicles,EB,23.1,-
659,3260.4,WB Vehicles,WB,13.1,-
660,3263.9,Posers,Poser,10.6,6.9
661,3266.8,WB Vehicles,WB,6.4,-
662,3272.4,Crossers,Crosser,88.2,8.0
663,3282.7,Posers,Poser,18.8,5.5
664,3285.0,WB Vehicles,WB,18.2,-
665,3295.5,EB Vehicles,EB,35.3,-
666,3301.8,Posers,Poser,19.1,3.5
667,3317.8,Posers,Poser,16.0,7.0
668,3327.0,Crossers,Crosser,54.6,2.2
669,3330.7,EB Vehicles,EB,35.2,-
670,3332.2,Crossers,Crosser,5.2,2.9
671,3342.3,WB Vehicles,WB,57.3,-
672,3349.3,WB Vehicles,WB,7.0,-
673,3349.4,EB Vehicles,EB,18.7,-
674,3354.7,Posers,Poser,36.9,7.3
675,3365.6,Posers,Poser,10.9,5.4
676,3379.1,EB Vehicles,EB,29.7,-
677,3383.5,Crossers,Crosser,51.3,8.1
678,3385.9,EB Vehicles,EB,6.8,-
679,3395.4,EB Vehicles,EB,9.5,-
680,3398.2,EB Vehicles,EB,2.8,-
681,3402.0,EB Vehicles,EB,3.8,-
682,3405.0,WB Vehicles,WB,55.7,-
683,3407.9,EB Vehicles,EB,5.9,-
684,3411.2,WB Vehicles,WB,6.2,-
685,3418.5,Posers,Poser,52.9,12.2
686,3431.8,WB Vehicles,WB,20.6,-
687,3435.0,WB Vehicles,WB,3.2,-
688,3438.4,WB Vehicles,WB,3.4,-
689,3445.8,Crossers,Crosser,62.3,3.2
690,3450.9,WB Vehicles,WB,12.5,-
691,3454.6,WB Vehicles,WB,3.7,-
692,3457.3,WB Vehicles,WB,2.7,-
693,3460.4,Crossers,Crosser,14.6,10.6
694,3462.9,WB Vehicles,WB,5.6,-
695,3473.9,WB Vehicles,WB,11.0,-
696,3476.9,WB Vehicles,WB,3.0,-
697,3479.7,Posers,Poser,61.2,9.0
698,3487.6,WB Vehicles,WB,10.7,-
699,3491.2,WB Vehicles,WB,3.6,-
700,3498.9,WB Vehicles,WB,7.7,-
701,3502.3,Posers,Poser,22.6,5.7
702,3503.8,WB Vehicles,WB,4.9,-
703,3509.4,Posers,Poser,7.1,6.6
704,3516.2,EB Vehicles,EB,108.3,-
705,3520.1,Crossers,Crosser,59.7,8.7
706,3530.4,Crossers,Crosser,10.3,2.8
707,3538.1,Crossers,Crosser,7.7,5.4
708,3542.8,WB Vehicles,WB,39.0,-
709,3549.4,WB Vehicles,WB,6.6,-
710,3551.5,WB Vehicles,WB,2.1,-
711,3555.3,WB Vehicles,WB,3.8,-
712,3563.7,Crossers,Crosser,25.6,3.0
713,3569.1,EB Vehicles,EB,52.9,-
714,3571.4,EB Vehicles,EB,2.3,-
715,3575.9,Posers,Poser,66.5,10.4
716,3577.5,WB Vehicles,WB,22.2,-
717,3583.0,EB Vehicles,EB,11.6,-
718,3586.6,EB Vehicles,EB,3.6,-
719,3590.5,EB Vehicles,EB,3.9,-
720,3592.2,Posers,Poser,16.3,6.6
721,3604.4,EB Vehicles,EB,13.9,-
722,3610.6,Crossers,Crosser,46.9,4.0
723,3616.8,WB Vehicles,WB,39.3,-
724,3621.1,Crossers,Crosser,10.5,7.6
725,3625.6,WB Vehicles,WB,8.8,-
726,3635.5,EB Vehicles,EB,31.1,-
