ID,Time (s),Entity,Type/Dir,Inter-Arrival (s),Service Time (s)
83,1288.5,EB Vehicles,EB,3.9,-
84,1291.3,EB Vehicles,EB,2.8,-
85,1295.4,EB Vehicles,EB,4.1,-
86,1301.6,EB Vehicles,EB,6.2,-
87,1306.2,EB Vehicles,EB,4.6,-
88,1360.2,EB Vehicles,EB,54,-
89,1379.2,EB Vehicles,EB,19,-
90,1382.8,EB Vehicles,EB,3.6,-
91,1472.5,EB Vehicles,EB,89.7,-
92,1475.5,EB Vehicles,EB,2.9,-
93,1481.5,EB Vehicles,EB,6,-
94,1485.4,EB Vehicles,EB,3.8,-
95,1489.2,EB Vehicles,EB,3.9,-
96,1494.2,EB Vehicles,EB,5,-
97,1497,EB Vehicles,EB,2.8,-
98,1507,EB Vehicles,EB,10,-
99,1509.9,EB Vehicles,EB,3,-
100,1511.9,EB Vehicles,EB,2,-
101,1525.6,EB Vehicles,EB,13.7,-
102,1549.7,EB Vehicles,EB,24.1,-
103,1618.3,EB Vehicles,EB,68.6,-
104,1623.7,EB Vehicles,EB,5.4,-
105,1626.3,EB Vehicles,EB,2.6,-
106,1655.1,EB Vehicles,EB,28.8,-
107,1659.8,EB Vehicles,EB,4.7,-
108,1681.5,EB Vehicles,EB,21.6,-
109,1694.3,EB Vehicles,EB,12.8,-
110,1700.6,EB Vehicles,EB,6.3,-
111,1703,EB Vehicles,EB,2.4,-
112,1705.4,EB Vehicles,EB,2.4,-
113,1709.7,EB Vehicles,EB,4.3,-
114,1717.2,EB Vehicles,EB,7.5,-
115,1724.6,EB Vehicles,EB,7.3,-
116,1730.3,EB Vehicles,EB,5.8,-
117,1763.4,EB Vehicles,EB,33.1,-
118,1768.4,EB Vehicles,EB,5,-
119,1774.1,EB Vehicles,EB,5.6,-
120,1795.9,EB Vehicles,EB,21.8,-
121,1864.5,EB Vehicles,EB,68.6,-
122,1876.7,EB Vehicles,EB,12.2,-
123,1879.5,EB Vehicles,EB,2.8,-
124,1882.5,EB Vehicles,EB,3.1,-
