ID,"Time (s)",Entity,"Service Time (s)","Inter-Arrival (s)"
215,4688.8,Posers,12.9,25.8
216,4708.3,Posers,15.3,19.5
217,4735.9,Posers,10.7,27.6
218,4752.0,Posers,5.4,16.1
219,4761.4,Posers,7.9,9.3
220,4775.9,Posers,6.0,14.5
222,4792.6,Posers,10.1,9.6
223,4812.5,Posers,6.3,19.9
225,4833.0,Posers,12.4,10.1
226,4849.4,Posers,7.2,16.4
230,4901.7,Posers,11.2,4.9
233,4953.8,Posers,24.9,11.0
234,4982.1,Posers,8.0,28.3
235,4991.4,Posers,19.2,9.2
236,5011.7,Posers,32.4,20.4
237,5063.5,Posers,34.3,51.7
238,5098.7,Posers,8.1,35.2
239,5122.9,Posers,25.5,24.2
240,5149.5,Posers,7.5,26.7
242,5172.3,Posers,13.4,6.2
243,5193.5,Posers,13.7,21.1
244,5219.5,Posers,11.7,26.1
246,5245.6,Posers,6.7,13.4
247,5254.3,Posers,17.8,8.6
248,5273.6,Posers,7.7,19.3
249,5283.7,Posers,20.4,10.2
250,5323.4,Posers,11.7,39.6
252,5365.6,Posers,32.4,21.1
