ID,Time (s),Entity,Type/Dir,Inter-Arrival (s),Service Time (s)
277,2691.6,WB Vehicles,WB,3.9,-
278,2695.8,WB Vehicles,WB,4.2,-
279,2711.3,WB Vehicles,WB,15.6,-
280,2724.3,WB Vehicles,WB,12.9,-
281,2727.7,WB Vehicles,WB,3.4,-
282,2736.8,WB Vehicles,WB,9.1,-
283,2744.1,WB Vehicles,WB,7.3,-
284,2755.8,WB Vehicles,WB,11.8,-
285,2768.1,WB Vehicles,WB,12.2,-
286,2778.5,WB Vehicles,WB,10.4,-
287,2782.9,WB Vehicles,WB,4.4,-
288,2786.7,WB Vehicles,WB,3.8,-
289,2824.8,WB Vehicles,WB,38.1,-
290,2832.1,WB Vehicles,WB,7.3,-
291,2845.5,WB Vehicles,WB,13.5,-
292,2858.6,WB Vehicles,WB,13.1,-
293,2876.3,WB Vehicles,WB,17.7,-
294,2888.2,WB Vehicles,WB,11.9,-
295,2900.1,WB Vehicles,WB,12.0,-
296,2904.8,WB Vehicles,WB,4.7,-
297,2915.0,WB Vehicles,WB,10.2,-
298,2921.6,WB Vehicles,WB,6.6,-
299,2942.2,WB Vehicles,WB,20.6,-
300,2944.4,WB Vehicles,WB,2.2,-
301,2959.7,WB Vehicles,WB,15.3,-
302,2966.5,WB Vehicles,WB,6.8,-
303,2970.4,WB Vehicles,WB,4.0,-
304,2975.1,WB Vehicles,WB,4.7,-
305,2993.1,WB Vehicles,WB,18.0,-
306,3015.8,WB Vehicles,WB,22.7,-
307,3024.5,WB Vehicles,WB,8.7,-
308,3033.4,WB Vehicles,WB,8.8,-
309,3036.2,WB Vehicles,WB,2.8,-
310,3038.8,WB Vehicles,WB,2.6,-
311,3042.0,WB Vehicles,WB,3.2,-
312,3045.2,WB Vehicles,WB,3.2,-
313,3048.6,WB Vehicles,WB,3.4,-
314,3053.0,WB Vehicles,WB,4.4,-
315,3066.2,WB Vehicles,WB,13.2,-
316,3079.2,WB Vehicles,WB,13.0,-
317,3084.2,WB Vehicles,WB,5.0,-
318,3093.0,WB Vehicles,WB,8.8,-
319,3103.5,WB Vehicles,WB,10.5,-
320,3107.1,WB Vehicles,WB,3.6,-
321,3114.2,WB Vehicles,WB,7.1,-
322,3119.4,WB Vehicles,WB,5.1,-
323,3232.2,WB Vehicles,WB,112.8,-
324,3234.1,WB Vehicles,WB,2.0,-
325,3237.4,WB Vehicles,WB,3.3,-
326,3240.2,WB Vehicles,WB,2.8,-
327,3247.3,WB Vehicles,WB,7.1,-
328,3260.4,WB Vehicles,WB,13.1,-
329,3266.8,WB Vehicles,WB,6.4,-
330,3285.0,WB Vehicles,WB,18.2,-
331,3342.3,WB Vehicles,WB,57.3,-
332,3349.3,WB Vehicles,WB,7.0,-
333,3405.0,WB Vehicles,WB,55.7,-
334,3411.2,WB Vehicles,WB,6.3,-
335,3431.8,WB Vehicles,WB,20.5,-
336,3435.0,WB Vehicles,WB,3.3,-
337,3438.4,WB Vehicles,WB,3.4,-
338,3450.9,WB Vehicles,WB,12.5,-
339,3454.6,WB Vehicles,WB,3.6,-
340,3457.3,WB Vehicles,WB,2.8,-
341,3462.9,WB Vehicles,WB,5.6,-
342,3473.9,WB Vehicles,WB,11.0,-
343,3476.9,WB Vehicles,WB,3.0,-
344,3487.6,WB Vehicles,WB,10.7,-
345,3491.2,WB Vehicles,WB,3.6,-
346,3498.9,WB Vehicles,WB,7.6,-
347,3503.8,WB Vehicles,WB,5.0,-
348,3542.8,WB Vehicles,WB,38.9,-
349,3549.4,WB Vehicles,WB,6.6,-
350,3551.5,WB Vehicles,WB,2.2,-
351,3555.3,WB Vehicles,WB,3.7,-
352,3577.5,WB Vehicles,WB,22.2,-
353,3616.8,WB Vehicles,WB,39.3,-
354,3625.6,WB Vehicles,WB,8.8,-
355,3636.0,WB Vehicles,WB,10.4,-
356,3699.2,WB Vehicles,WB,63.2,-
357,3766.9,WB Vehicles,WB,67.7,-
358,3769.5,WB Vehicles,WB,2.6,-
359,3772.5,WB Vehicles,WB,3.0,-
360,3774.6,WB Vehicles,WB,2.1,-
361,3778.4,WB Vehicles,WB,3.9,-
362,3782.9,WB Vehicles,WB,4.4,-
363,3788.7,WB Vehicles,WB,5.8,-
364,3792.5,WB Vehicles,WB,3.8,-
365,3800.7,WB Vehicles,WB,8.2,-
366,3821.4,WB Vehicles,WB,20.7,-
367,3829.9,WB Vehicles,WB,8.5,-
368,3936.3,WB Vehicles,WB,106.4,-
369,3941.3,WB Vehicles,WB,5.0,-
370,3944.9,WB Vehicles,WB,3.6,-
371,3948.9,WB Vehicles,WB,3.9,-
372,3952.7,WB Vehicles,WB,3.8,-
373,3968.9,WB Vehicles,WB,16.2,-
374,3976.1,WB Vehicles,WB,7.2,-
375,3979.8,WB Vehicles,WB,3.7,-
376,3983.4,WB Vehicles,WB,3.6,-
377,3986.2,WB Vehicles,WB,2.8,-
378,3990.7,WB Vehicles,WB,4.5,-
379,3993.7,WB Vehicles,WB,3.0,-
380,3996.9,WB Vehicles,WB,3.2,-
381,3999.2,WB Vehicles,WB,2.3,-
382,4013.8,WB Vehicles,WB,14.5,-
383,4016.3,WB Vehicles,WB,2.6,-
384,4019.0,WB Vehicles,WB,2.6,-
385,4024.5,WB Vehicles,WB,5.6,-
386,4036.3,WB Vehicles,WB,11.8,-
387,4039.4,WB Vehicles,WB,3.0,-
388,4043.5,WB Vehicles,WB,4.1,-
389,4046.0,WB Vehicles,WB,2.5,-
390,4058.9,WB Vehicles,WB,13.0,-
391,4064.0,WB Vehicles,WB,5.0,-
392,4131.6,WB Vehicles,WB,67.6,-
393,4133.9,WB Vehicles,WB,2.3,-
394,4136.9,WB Vehicles,WB,3.0,-
395,4140.3,WB Vehicles,WB,3.3,-
396,4145.3,WB Vehicles,WB,5.1,-
397,4148.6,WB Vehicles,WB,3.3,-
398,4151.7,WB Vehicles,WB,3.1,-
399,4155.4,WB Vehicles,WB,3.7,-
400,4157.8,WB Vehicles,WB,2.4,-
401,4160.3,WB Vehicles,WB,2.5,-
402,4163.6,WB Vehicles,WB,3.3,-
403,4169.0,WB Vehicles,WB,5.3,-
404,4173.9,WB Vehicles,WB,4.9,-
405,4185.4,WB Vehicles,WB,11.5,-
406,4189.1,WB Vehicles,WB,3.8,-
407,4225.9,WB Vehicles,WB,36.8,-
408,4248.3,WB Vehicles,WB,22.4,-
409,4253.2,WB Vehicles,WB,4.9,-
410,4263.3,WB Vehicles,WB,10.1,-
411,4324.5,WB Vehicles,WB,61.2,-
412,4329.9,WB Vehicles,WB,5.4,-
413,4333.9,WB Vehicles,WB,4.0,-
414,4337.4,WB Vehicles,WB,3.5,-
415,4349.2,WB Vehicles,WB,11.8,-
416,4361.3,WB Vehicles,WB,12.2,-
417,4365.0,WB Vehicles,WB,3.6,-
418,4368.8,WB Vehicles,WB,3.8,-
419,4371.0,WB Vehicles,WB,2.2,-
420,4373.7,WB Vehicles,WB,2.8,-
421,4447.8,WB Vehicles,WB,74.0,-
422,4508.0,WB Vehicles,WB,60.2,-
423,4510.1,WB Vehicles,WB,2.1,-
424,4512.3,WB Vehicles,WB,2.2,-
425,4515.4,WB Vehicles,WB,3.1,-
426,4522.2,WB Vehicles,WB,6.8,-
427,4525.7,WB Vehicles,WB,3.5,-
428,4535.9,WB Vehicles,WB,10.2,-
429,4542.2,WB Vehicles,WB,6.3,-
430,4546.6,WB Vehicles,WB,4.4,-
431,4552.6,WB Vehicles,WB,6.0,-
432,4554.9,WB Vehicles,WB,2.4,-
433,4592.9,WB Vehicles,WB,38.0,-
434,4596.7,WB Vehicles,WB,3.8,-
435,4599.7,WB Vehicles,WB,2.9,-
436,4616.3,WB Vehicles,WB,16.7,-
437,4634.6,WB Vehicles,WB,18.2,-
438,4637.2,WB Vehicles,WB,2.6,-
439,4649.8,WB Vehicles,WB,12.7,-
440,4657.9,WB Vehicles,WB,8.1,-
441,4662.5,WB Vehicles,WB,4.6,-
442,4675.7,WB Vehicles,WB,13.1,-
443,4703.6,WB Vehicles,WB,27.9,-
444,4709.8,WB Vehicles,WB,6.2,-
445,4727.5,WB Vehicles,WB,17.7,-
446,4746.3,WB Vehicles,WB,18.8,-
447,4754.7,WB Vehicles,WB,8.4,-
448,4761.0,WB Vehicles,WB,6.3,-
449,4772.4,WB Vehicles,WB,11.4,-
450,4775.5,WB Vehicles,WB,3.1,-
451,4780.2,WB Vehicles,WB,4.8,-
452,4788.0,WB Vehicles,WB,7.7,-
453,4797.4,WB Vehicles,WB,9.5,-
454,4807.5,WB Vehicles,WB,10.1,-
455,4811.4,WB Vehicles,WB,3.9,-
456,4820.9,WB Vehicles,WB,9.5,-
457,4824.2,WB Vehicles,WB,3.3,-
458,4844.6,WB Vehicles,WB,20.3,-
459,4917.8,WB Vehicles,WB,73.3,-
460,4920.7,WB Vehicles,WB,2.9,-
461,4922.2,WB Vehicles,WB,1.5,-
462,4926.2,WB Vehicles,WB,4.0,-
463,4929.8,WB Vehicles,WB,3.6,-
464,4933.6,WB Vehicles,WB,3.8,-
465,4953.1,WB Vehicles,WB,19.6,-
466,4955.7,WB Vehicles,WB,2.6,-
467,4958.0,WB Vehicles,WB,2.3,-
468,4972.3,WB Vehicles,WB,14.3,-
469,4980.1,WB Vehicles,WB,7.8,-
470,4990.9,WB Vehicles,WB,10.8,-
471,5018.2,WB Vehicles,WB,27.3,-
472,5045.9,WB Vehicles,WB,27.7,-
473,5049.3,WB Vehicles,WB,3.4,-
474,5053.8,WB Vehicles,WB,4.5,-
475,5058.4,WB Vehicles,WB,4.6,-
476,5062.5,WB Vehicles,WB,4.1,-
477,5114.3,WB Vehicles,WB,51.8,-
478,5116.5,WB Vehicles,WB,2.2,-
479,5120.1,WB Vehicles,WB,3.5,-
480,5124.4,WB Vehicles,WB,4.4,-
481,5143.8,WB Vehicles,WB,19.4,-
482,5147.1,WB Vehicles,WB,3.3,-
483,5151.0,WB Vehicles,WB,3.9,-
484,5160.2,WB Vehicles,WB,9.2,-
485,5163.0,WB Vehicles,WB,2.8,-
486,5166.2,WB Vehicles,WB,3.1,-
487,5173.9,WB Vehicles,WB,7.8,-
488,5187.4,WB Vehicles,WB,13.5,-
489,5190.7,WB Vehicles,WB,3.3,-
490,5194.3,WB Vehicles,WB,3.5,-
491,5199.1,WB Vehicles,WB,4.8,-
492,5210.4,WB Vehicles,WB,11.3,-
493,5213.7,WB Vehicles,WB,3.3,-
494,5218.2,WB Vehicles,WB,4.5,-
495,5233.2,WB Vehicles,WB,15.1,-
